# Outlier report
# name  lon  lat  residual  reason
I360            93.99800   43.42300      10.976  IQR(res=10.98)
I361            86.05800   43.03400       9.974  IQR(res=9.97)
I365            81.89100   43.15500      15.206  IQR(res=15.21)
E323           124.71800   40.76200       3.539  KNN
E328           123.43300   39.78500       1.400  KNN
I398            88.21400   39.27600       0.000  KNN
I406            80.30100   37.89100       0.000  KNN
I416            77.83800   37.39400       0.000  KNN
E380           131.06700   43.14700       6.626  KNN
J002            98.09800   36.27000       0.000  KNN
J014            94.87300   36.43300       0.000  KNN
E395           113.82700   42.00900       0.386  KNN
E401           120.05000   41.59300       1.347  KNN
E403           114.37700   41.56000       2.519  KNN
E404           120.33500   41.21800       1.306  KNN
EB02           124.25200   45.53700       3.495  KNN
EB05           123.60100   40.72900       8.293  KNN
F001           120.23600   30.32800       5.348  KNN
J042            89.15400   27.72100       0.000  KNN
F007           112.88100    9.53900       2.360  KNN
F008           114.06200   10.91300       2.091  KNN
F012           118.64300   28.73400       1.825  KNN
F013           115.83400   28.73400       0.729  KNN
F016           119.39500   25.97200       1.567  KNN
F018           118.78100   25.03900       0.702  KNN
F019           118.71900   25.33800       5.622  KNN
F024           116.71700   24.72600       0.536  KNN
J308            79.09800   31.88600       0.000  KNN
F042           113.89600   22.58700       1.434  KNN
F051           110.15100   20.27500       2.978  KNN
J339            86.38700   28.68700       0.000  KNN
F068           109.49400   18.20300       1.953  KNN
J344            85.71400   35.47000       0.000  KNN
F076           104.31100   24.87900       0.160  KNN
F311           121.31000   28.44700       1.240  KNN
F327           119.89200   26.32300       1.109  KNN
F333           118.07300   25.49800       0.728  KNN
J384            94.74900   34.92100       0.000  KNN
F344           115.43100   24.37600       2.560  KNN
J394            97.05400   28.45100       0.000  KNN
F347           117.27700   24.01100       3.520  KNN
F357           104.08800   26.25100       1.777  KNN
F366           105.20900   23.75600       5.981  KNN
J416           103.79500   33.31700       0.000  KNN
F372           106.31800   22.89100       1.075  KNN
J427            92.35200   33.95300       0.000  KNN
F379           107.08100   29.15000       1.040  KNN
JB11           126.96900   46.65000       0.000  KNN
JB16           121.74000   39.09200       0.000  KNN
JB17           116.10400   43.90300       0.000  KNN
JB19           120.78000   27.97100       0.000  KNN
F401           109.41700   23.16400       2.960  KNN
F402           109.58600   27.95500       4.594  KNN
JB25           106.66500   26.41500       0.000  KNN
JB28            95.80000   40.51400       0.000  KNN
H315            98.91000   23.48700       8.093  IQR(res=8.09)
H318            99.33900   28.21800      10.859  IQR(res=10.86)
H319            99.43300   27.76400       9.172  IQR(res=9.17)
H320            99.59300   23.74100      13.611  IQR(res=13.61)
JB47            83.25700   43.39800       0.000  KNN
H324            99.86200   26.80700      15.220  IQR(res=15.22)
H325            99.99800   26.75900      15.914  IQR(res=15.91)
H327           100.04600   27.51100      15.769  IQR(res=15.77)
H328           100.17700   26.26800       9.746  IQR(res=9.75)
D020           112.09200   37.53600       2.663  KNN
H333           100.45500   26.99900       9.043  IQR(res=9.04)
F436           113.06900   22.19700       8.038  IQR(res=8.04)
F437           113.25200   23.74900       8.690  IQR(res=8.69)
H337           100.92300   28.12600       0.000  KNN
H335           100.72900   24.64300      11.150  IQR(res=11.15)
F440           113.32800   22.50500       8.094  IQR(res=8.09)
H340           100.93600   26.14200       0.000  KNN
H309            98.19700   25.45400       9.083  IQR(res=9.08)
A035           112.96900   38.44300       0.859  KNN
H349           101.45500   27.66700       0.000  KNN
D045           108.26000   41.10300       1.333  KNN
F458           115.66300   30.61600       0.923  KNN
A047           114.82100   39.69900       1.024  KNN
A048           114.56000   39.36200       0.442  KNN
D059           107.22500   38.48500       3.406  KNN
D065           107.38700   35.28800       0.781  KNN
A068           116.62000   41.22000       0.716  KNN
A069           116.93200   41.03700       0.559  KNN
D091           106.20000   38.74400       1.076  KNN
A089           116.21700   39.91500       1.602  KNN
A094           116.28300   39.40200       0.672  KNN
A095           115.84900   39.05800       2.416  KNN
D311           108.68100   41.23100       2.509  KNN
A105           116.62600   38.70700       2.274  KNN
I003            91.47400   43.48500       0.000  KNN
A123           118.34100   40.15000       3.154  KNN
A137           117.73800   39.34300       4.022  KNN
G071           100.42600   37.60600       1.883  KNN
