# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
   95   132.23333   46.80133         6.753       -11.059        -6.114        13.114       -12.475    119.90         0.639        12.794        18.099       2.557       1.815       2.931       3.026       2.450       3.914       1.936
   96   131.61000   47.19967        -4.740         0.133       -10.880        -4.737       -10.883     88.76       -15.621         3.073        11.870       2.245       1.864       2.609       2.244       2.834       3.612       1.809
   97   132.31767   47.67900        -3.826        -2.471        10.495        10.909        -4.240    170.48         6.669         7.574        11.704       2.176       2.584       3.312       3.375       2.078       4.093       1.915
   98   133.16000   46.85067         3.262       -11.583         1.504        13.999        -9.233    132.83         4.766        11.616        16.769       2.464       2.727       4.020       3.146       3.946       4.621       2.719
   99   133.26500   47.38800        -0.587        -6.311        12.489        15.038        -3.136    158.01        11.902         9.087        15.362       2.646       2.202       2.782       2.675       3.025       3.726       2.164
  101   109.07867   50.55400         0.131        -1.838         2.682         3.644        -0.831    152.38         2.812         2.237         3.737       0.095       0.206       0.417       0.395       0.148       0.428       0.208
  102    86.96133   48.51767         2.201        -3.344        -8.811         3.137        -9.747    105.64        -6.610         6.442        10.239      11.759      13.747      35.485      19.851      22.792      36.110      11.436
  105   113.67567   42.80567         1.379        -0.468         0.880         1.660         0.599    120.98         2.259         0.531         1.765       1.801       0.818       0.582       1.632       0.664       1.887       0.814
  106   112.46700   42.50800         0.320        -0.498         1.511         1.692         0.139    160.05         1.831         0.777         1.698       1.853       0.934       0.894       1.828       0.601       2.068       0.885
  107   113.10367   42.56600        -0.142        -1.556         1.045         2.117        -1.214    145.43         0.903         1.666         2.441       3.941       1.690       0.958       2.250       2.821       3.977       1.600
  108   111.81000   41.73467        -1.246         2.693         3.142         4.422        -2.525     25.41         1.897         3.474         5.092       1.729       2.409       3.600       2.985       3.052       3.908       2.301
  109   119.00233   48.40833         2.972         3.692        -0.749         5.246        -3.023     58.37         2.224         4.135         6.055       1.328       1.273       1.711       1.363       1.980       2.187       1.301
  110   117.81567   48.50133         1.660         2.508        -1.033         3.160        -2.533     59.12         0.627         2.847         4.050       1.463       1.268       1.747       1.683       1.630       2.152       1.260
  111   117.54233   49.02167         3.432        -0.768        -0.274         3.585        -0.427    101.25         3.158         2.006         3.610       1.548       1.037       1.364       1.520       1.369       2.159       0.963
  112   118.38033   49.60900         5.099        -1.280         0.600         5.437         0.261    104.82         5.699         2.588         5.444       1.621       0.912       1.102       1.619       1.058       1.994       0.936
  113   119.34867   49.20200         2.852         0.262         0.423         2.880         0.395     83.92         3.275         1.242         2.907       1.439       0.759       1.005       0.955       1.114       1.686       0.605
  114   131.01233   45.96800         1.929       -14.033        18.128        26.231        -6.174    150.00        20.057        16.203        26.948       2.074       1.256       1.661       1.723       1.903       2.656       1.238
  115   130.28600   46.36567        -7.573        -5.964        12.845        14.460        -9.187    164.85         5.272        11.823        17.131       2.013       1.378       1.661       1.696       2.014       2.692       1.286
  116   127.96600   42.84800         8.814        -3.736        -4.073         9.819        -5.078    105.05         4.740         7.448        11.054       1.498       0.849       0.729       1.509       0.761       1.685       0.848
  117   127.63567   43.86467         5.262        -6.470        -1.797         9.103        -5.638    120.69         3.465         7.370        10.707       1.736       0.994       1.607       1.801       1.037       2.203       0.973
  120    89.83000   28.22167         8.206        -5.323       -15.745         9.336       -16.874    101.98        -7.538        13.105        19.285       7.013      13.313      24.995      14.337      16.263      25.929       8.182
  121    89.16400   28.16333        18.912         2.137       -29.977        19.005       -30.070     87.50       -11.065        24.537        35.572       6.228       8.258      11.929       7.596      11.318      13.659       6.801
  122    89.24767   28.49000        18.351         0.780       -35.417        18.362       -35.428     89.17       -17.066        26.895        39.904       5.083       5.595       9.798       4.574      10.137      10.804       5.715
  123    83.28267   33.21900        13.113        -2.620       -10.335        13.402       -10.624     96.30         2.779        12.013        17.102       2.911       1.261       1.486       2.736       1.756       3.353       1.573
  124    85.09633   33.51933        14.910        -7.477       -11.363        16.888       -13.342    104.82         3.547        15.115        21.522       1.666       0.753       0.532       1.481       0.616       1.753       0.720
  125    85.04033   29.37367         8.586       -15.492       -22.523        14.985       -28.922    112.44       -13.936        21.953        32.573       4.074       8.747      27.360       4.022      28.382      27.462      14.910
  126    84.88600   28.96767         0.835         2.331        17.869        18.182         0.521      7.65        18.703         8.830        18.189       5.225      18.571      48.449      34.953      24.773      49.011      17.810
  128    86.15900   28.56500        -0.683         4.213        -2.729         2.630        -6.042     51.82        -3.412         4.336         6.589       3.251       9.336      40.703      37.698       8.347      41.059      17.998
